Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.962","SAOUHSC_01047","VBIStaAur99865_0962","PATRIC.93061.5.NC_007795.CDS.1015519.1016316.fwd","PATRIC","CDS",1015519,1016316,798,"+","FIG00004037","PLF_1279_00000667","PGF_00053700","YP_499596.1",265,,"Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.963","SAOUHSC_01048","VBIStaAur99865_0963","PATRIC.93061.5.NC_007795.CDS.1016322.1017131.fwd","PATRIC","CDS",1016322,1017131,810,"+","FIG00003894","PLF_1279_00000668","PGF_05048110","YP_499597.1",269,,"Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.964","SAOUHSC_01049","VBIStaAur99865_0964","PATRIC.93061.5.NC_007795.CDS.1017131.1018204.fwd","PATRIC","CDS",1017131,1018204,1074,"+","FIG00005022","PLF_1279_00000723","PGF_10327309","YP_499598.1",357,,"Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.965","SAOUHSC_01050","VBIStaAur99865_0965","PATRIC.93061.5.NC_007795.CDS.1018278.1019297.fwd","PATRIC","CDS",1018278,1019297,1020,"+","FIG01108898","PLF_1279_00001371","PGF_08225224","YP_499599.1",339,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.966","SAOUHSC_01051","VBIStaAur99865_0966","PATRIC.93061.5.NC_007795.CDS.1019580.1019999.fwd","PATRIC","CDS",1019580,1019999,420,"+","FIG01107916","PLF_1279_00002131","PGF_03469438","YP_499600.1",139,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.967","SAOUHSC_01053","VBIStaAur99865_0967","PATRIC.93061.5.NC_007795.CDS.1020081.1021433.rev","PATRIC","CDS",1020081,1021433,1353,"-","FIG00554286","PLF_1279_00000559","PGF_00905234","YP_499601.1",450,,"Manganese transport protein MntH","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.968","SAOUHSC_01054","VBIStaAur99865_0968","PATRIC.93061.5.NC_007795.CDS.1021617.1022231.rev","PATRIC","CDS",1021617,1022231,615,"-","FIG01225125","PLF_1279_00020228","PGF_00346814","YP_499602.1",204,,"DUF1054 superfamily protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.969","SAOUHSC_01055","VBIStaAur99865_0969","PATRIC.93061.5.NC_007795.CDS.1022388.1023215.fwd","PATRIC","CDS",1022388,1023215,828,"+","FIG00002332","PLF_1279_00001396","PGF_10300175","YP_499603.1",275,,"Inositol-1-monophosphatase (EC 3.1.3.25)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.970",,"VBIStaAur99865_0970","PATRIC.93061.5.NC_007795.CDS.1023369.1023560.rev","PATRIC","CDS",1023369,1023560,192,"-","FIG01107842","PLF_1279_00001235","PGF_02437461",,63,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.87","SAOUHSC_00097","VBIStaAur99865_0087","PATRIC.93061.5.NC_007795.CDS.102361.103068.fwd","PATRIC","CDS",102361,103068,708,"+","FIG00000659","PLF_1279_00002004","PGF_00038987","YP_498698.1",235,,"Purine nucleoside phosphorylase (EC 2.4.2.1)","GO:0004731|purine-nucleoside phosphorylase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.971","SAOUHSC_01058","VBIStaAur99865_0971","PATRIC.93061.5.NC_007795.CDS.1023662.1025509.fwd","PATRIC","CDS",1023662,1025509,1848,"+","FIG00000268","PLF_1279_00000554","PGF_00007041","YP_499605.1",615,,"GTP-binding protein TypA/BipA","GO:0005525|GTP binding;GO:0006412|translation"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.972","SAOUHSC_01060","VBIStaAur99865_0972","PATRIC.93061.5.NC_007795.CDS.1025649.1025816.rev","PATRIC","CDS",1025649,1025816,168,"-","FIG01107924","PLF_1279_00089122","PGF_02930210","YP_499606.1",55,,"Uncharacterized protein YlaI",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.973","SAOUHSC_01061","VBIStaAur99865_0973","PATRIC.93061.5.NC_007795.CDS.1025818.1026300.rev","PATRIC","CDS",1025818,1026300,483,"-","FIG01226511","PLF_1279_00000787","PGF_07769381","YP_499607.1",160,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.974","SAOUHSC_01062","VBIStaAur99865_0974","PATRIC.93061.5.NC_007795.CDS.1026441.1026716.fwd","PATRIC","CDS",1026441,1026716,276,"+","FIG00774243","PLF_1279_00000985","PGF_00419414","YP_499608.1",91,,"UPF0358 protein YlaN",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.975","SAOUHSC_01063","VBIStaAur99865_0975","PATRIC.93061.5.NC_007795.CDS.1027030.1028256.fwd","PATRIC","CDS",1027030,1028256,1227,"+","FIG00000025","PLF_1279_00000373","PGF_08149255","YP_499609.1",408,,"FtsW-like protein YlaO",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.976","SAOUHSC_01064","VBIStaAur99865_0976","PATRIC.93061.5.NC_007795.CDS.1028810.1032262.fwd","PATRIC","CDS",1028810,1032262,3453,"+","FIG00001308","PLF_1279_00000308","PGF_00045963","YP_499610.1",1150,,"Pyruvate carboxylase (EC 6.4.1.1)","GO:0004736|pyruvate carboxylase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.88","SAOUHSC_00099","VBIStaAur99865_0088","PATRIC.93061.5.NC_007795.CDS.103075.104427.fwd","PATRIC","CDS",103075,104427,1353,"+","FIG01331695","PLF_1279_00001926","PGF_03059393","YP_498699.1",450,,"Tetracycline resistance, MFS efflux pump => Tet(38)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.977","SAOUHSC_01065","VBIStaAur99865_0977","PATRIC.93061.5.NC_007795.CDS.1032402.1033313.rev","PATRIC","CDS",1032402,1033313,912,"-","FIG00000802","PLF_1279_00000648","PGF_05949825","YP_499611.1",303,,"Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA","GO:0006461|protein complex assembly;GO:0016020|membrane"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.978","SAOUHSC_01066","VBIStaAur99865_0978","PATRIC.93061.5.NC_007795.CDS.1033753.1034664.fwd","PATRIC","CDS",1033753,1034664,912,"+","FIG00000497","PLF_1279_00000899","PGF_07157721","YP_499612.1",303,,"Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.979","SAOUHSC_01067","VBIStaAur99865_0979","PATRIC.93061.5.NC_007795.CDS.1034689.1035150.fwd","PATRIC","CDS",1034689,1035150,462,"+","FIG01231281","PLF_1279_00000859","PGF_08228522","YP_499613.1",153,,"Terminal oxidase biogenesis protein CtaM, putative heme A, heme O chaperone",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.980","SAOUHSC_01069","VBIStaAur99865_0980","PATRIC.93061.5.NC_007795.CDS.1035477.1036514.fwd","PATRIC","CDS",1035477,1036514,1038,"+","FIG01308181","PLF_1279_00001580","PGF_00689473","YP_499615.1",345,,"Allergen V5/Tpx-1 related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.981","SAOUHSC_01070","VBIStaAur99865_0981","PATRIC.93061.5.NC_007795.CDS.1036530.1036964.fwd","PATRIC","CDS",1036530,1036964,435,"+","FIG00646197","PLF_1279_00001872","PGF_03005224","YP_499616.1",144,,"ComK regulator",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.982","SAOUHSC_01071","VBIStaAur99865_0982","PATRIC.93061.5.NC_007795.CDS.1037027.1037953.rev","PATRIC","CDS",1037027,1037953,927,"-","FIG00002239","PLF_1279_00001421","PGF_04776928","YP_499617.1",308,,"Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)","GO:0008889|glycerophosphodiester phosphodiesterase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.983","SAOUHSC_01072","VBIStaAur99865_0983","PATRIC.93061.5.NC_007795.CDS.1038192.1038446.fwd","PATRIC","CDS",1038192,1038446,255,"+","FIG01308682","PLF_1279_00001020","PGF_00226846","YP_499618.1",84,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.984","SAOUHSC_01073","VBIStaAur99865_0984","PATRIC.93061.5.NC_007795.CDS.1038449.1038838.rev","PATRIC","CDS",1038449,1038838,390,"-","FIG01225888","PLF_1279_00002106","PGF_03463878","YP_499619.1",129,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.985","SAOUHSC_01074","VBIStaAur99865_0985","PATRIC.93061.5.NC_007795.CDS.1038908.1039450.fwd","PATRIC","CDS",1038908,1039450,543,"+","FIG01958885","PLF_1279_00000790","PGF_07133621","YP_499620.1",180,,"16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.986","SAOUHSC_01075","VBIStaAur99865_0986","PATRIC.93061.5.NC_007795.CDS.1039452.1039934.fwd","PATRIC","CDS",1039452,1039934,483,"+","FIG00000261","PLF_1279_00000820","PGF_04762552","YP_499621.1",160,"coaD","Phosphopantetheine adenylyltransferase (EC 2.7.7.3)","GO:0004595|pantetheine-phosphate adenylyltransferase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.987","SAOUHSC_01076","VBIStaAur99865_0987","PATRIC.93061.5.NC_007795.CDS.1039996.1041135.rev","PATRIC","CDS",1039996,1041135,1140,"-","FIG00007079","PLF_1279_00001294","PGF_00000196","YP_499622.1",379,,"UPF0348 protein family",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.988","SAOUHSC_01077","VBIStaAur99865_0988","PATRIC.93061.5.NC_007795.CDS.1041262.1041819.fwd","PATRIC","CDS",1041262,1041819,558,"+","FIG00008125","PLF_1279_00000800","PGF_02031353","YP_499623.1",185,,"FIG01269488: protein, clustered with ribosomal protein L32p",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.989","SAOUHSC_01078","VBIStaAur99865_0989","PATRIC.93061.5.NC_007795.CDS.1041899.1042030.fwd","PATRIC","CDS",1041899,1042030,132,"+","FIG00006632","PLF_1279_00000967","PGF_00016404","YP_499625.1",43,,"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.990","SAOUHSC_01079","VBIStaAur99865_0990","PATRIC.93061.5.NC_007795.CDS.1042227.1044164.rev","PATRIC","CDS",1042227,1044164,1938,"-","FIG00018896","PLF_1279_00001998","PGF_03469197","YP_499626.1",645,,"Cell surface receptor IsdB for hemoglobin and hemoglobin-haptoglobin complexes",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.991","SAOUHSC_01081","VBIStaAur99865_0991","PATRIC.93061.5.NC_007795.CDS.1044368.1045420.rev","PATRIC","CDS",1044368,1045420,1053,"-","FIG00009058","PLF_1279_00002135","PGF_03469440","YP_499627.1",350,,"Cell surface protein IsdA, transfers heme from hemoglobin to apo-IsdC",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.89","SAOUHSC_00100","VBIStaAur99865_0089","PATRIC.93061.5.NC_007795.CDS.104508.105170.fwd","PATRIC","CDS",104508,105170,663,"+","FIG00000450","PLF_1279_00000012","PGF_05026985","YP_498700.1",220,,"Deoxyribose-phosphate aldolase (EC 4.1.2.4)","GO:0004139|deoxyribose-phosphate aldolase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.992","SAOUHSC_01082","VBIStaAur99865_0992","PATRIC.93061.5.NC_007795.CDS.1045629.1046312.fwd","PATRIC","CDS",1045629,1046312,684,"+","FIG00015075","PLF_1279_00001835","PGF_00025048","YP_499628.1",227,,"NPQTN cell wall anchored protein IsdC",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.993","SAOUHSC_01084","VBIStaAur99865_0993","PATRIC.93061.5.NC_007795.CDS.1046312.1047388.fwd","PATRIC","CDS",1046312,1047388,1077,"+",,"PLF_1279_00001750","PGF_03467433","YP_499629.1",358,,"Heme transporter IsdDEF, membrane component IsdD",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.994","SAOUHSC_01085","VBIStaAur99865_0994","PATRIC.93061.5.NC_007795.CDS.1047517.1048263.fwd","PATRIC","CDS",1047517,1048263,747,"+","FIG00008879","PLF_1279_00001812","PGF_03781243","YP_499630.1",248,,"Heme transporter IsdDEF, lipoprotein IsdE",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.995","SAOUHSC_01086","VBIStaAur99865_0995","PATRIC.93061.5.NC_007795.CDS.1048273.1049052.fwd","PATRIC","CDS",1048273,1049052,780,"+","FIG00007984","PLF_1279_00002001","PGF_04454692","YP_499631.1",259,,"Heme transporter IsdDEF, permease component IsdF",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.996","SAOUHSC_01087","VBIStaAur99865_0996","PATRIC.93061.5.NC_007795.CDS.1049109.1049240.fwd","PATRIC","CDS",1049109,1049240,132,"+",,"PLF_1279_00002001","PGF_04454692","YP_499632.1",43,,"Heme transporter IsdDEF, permease component IsdF",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.997","SAOUHSC_01088","VBIStaAur99865_0997","PATRIC.93061.5.NC_007795.CDS.1049302.1050036.fwd","PATRIC","CDS",1049302,1050036,735,"+","FIG00002385","PLF_1279_00001801","PGF_00025050","YP_499633.1",244,,"NPQTN specific sortase B",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.998","SAOUHSC_01089","VBIStaAur99865_0998","PATRIC.93061.5.NC_007795.CDS.1050055.1050378.fwd","PATRIC","CDS",1050055,1050378,324,"+","FIG01955934","PLF_1279_00001813","PGF_05612921","YP_499634.1",107,,"Heme-degrading monooxygenase, staphylobilin-producing (EC 1.14.99.48)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.999","SAOUHSC_01090","VBIStaAur99865_0999","PATRIC.93061.5.NC_007795.CDS.1050415.1050522.fwd","PATRIC","CDS",1050415,1050522,108,"+","FIG01315817","PLF_1279_00122849","PGF_03474846","YP_499635.1",35,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1000","SAOUHSC_01091","VBIStaAur99865_1000","PATRIC.93061.5.NC_007795.CDS.1050762.1051502.fwd","PATRIC","CDS",1050762,1051502,741,"+","FIG01289107","PLF_1279_00000550","PGF_07411046","YP_499636.1",246,,"Uncharacterized RNA methyltransferase YsgA",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1001","SAOUHSC_01092","VBIStaAur99865_1001","PATRIC.93061.5.NC_007795.CDS.1051883.1052941.fwd","PATRIC","CDS",1051883,1052941,1059,"+","FIG00000098","PLF_1279_00000656","PGF_02019462","YP_499637.1",352,"pheS","Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)","GO:0004826|phenylalanine-tRNA ligase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.90","SAOUHSC_00101","VBIStaAur99865_0090","PATRIC.93061.5.NC_007795.CDS.105198.106376.fwd","PATRIC","CDS",105198,106376,1179,"+","FIG00000738","PLF_1279_00000243","PGF_00033904","YP_498701.1",392,,"Phosphopentomutase (EC 5.4.2.7)","GO:0008973|phosphopentomutase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1002","SAOUHSC_01093","VBIStaAur99865_1002","PATRIC.93061.5.NC_007795.CDS.1052941.1055343.fwd","PATRIC","CDS",1052941,1055343,2403,"+","FIG00000116","PLF_1279_00000711","PGF_00033095","YP_499638.1",800,"pheT","Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)","GO:0004826|phenylalanine-tRNA ligase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1003","SAOUHSC_01095","VBIStaAur99865_1003","PATRIC.93061.5.NC_007795.CDS.1055514.1056452.rev","PATRIC","CDS",1055514,1056452,939,"-","FIG00001474","PLF_1279_00000524","PGF_00048557","YP_499639.1",312,,"Ribonuclease HIII (EC 3.1.26.4)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1004","SAOUHSC_01096","VBIStaAur99865_1004","PATRIC.93061.5.NC_007795.CDS.1056822.1057082.fwd","PATRIC","CDS",1056822,1057082,261,"+","FIG01321927","PLF_1279_00001611","PGF_00067420","YP_499640.1",86,,"Z-ring-associated protein",
