Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1020","HI0977","VBIHaeInf48452_1020","PATRIC.71421.8.NC_000907.CDS.1035466.1036041.fwd","PATRIC","CDS",1035466,1036041,576,"+","FIG01341464","PLF_724_00001551","PGF_00004734","NP_439140.1",191,"fic","Fic domain protein, HP1159 type",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1021","HI0978","VBIHaeInf48452_1021","PATRIC.71421.8.NC_000907.CDS.1036082.1036972.fwd","PATRIC","CDS",1036082,1036972,891,"+","FIG00000346","PLF_724_00000369","PGF_00048840","NP_439141.1",296,"prmA","Ribosomal protein L11 methyltransferase",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1022","HI0979","VBIHaeInf48452_1022","PATRIC.71421.8.NC_000907.CDS.1037121.1038113.fwd","PATRIC","CDS",1037121,1038113,993,"+","FIG00000580","PLF_724_00001030","PGF_00912265","NP_439142.1",330,,"tRNA-dihydrouridine synthase DusB",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1023","HI0980","VBIHaeInf48452_1023","PATRIC.71421.8.NC_000907.CDS.1038094.1038393.fwd","PATRIC","CDS",1038094,1038393,300,"+","FIG00001634","PLF_724_00000797","PGF_00422053","NP_439143.1",99,"fis","DNA-binding protein Fis",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1024","HI0981","VBIHaeInf48452_1024","PATRIC.71421.8.NC_000907.CDS.1038488.1038973.rev","PATRIC","CDS",1038488,1038973,486,"-","FIG00000194","PLF_724_00001031","PGF_00413554","NP_439144.1",161,"smpB","tmRNA-binding protein SmpB",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1025","HI0982","VBIHaeInf48452_1025","PATRIC.71421.8.NC_000907.CDS.1039212.1040177.rev","PATRIC","CDS",1039212,1040177,966,"-","FIG00058830","PLF_724_00000148","PGF_07421229","NP_439145.1",321,"pfkA","6-phosphofructokinase (EC 2.7.1.11)","GO:0003872|6-phosphofructokinase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1026","HI0983","VBIHaeInf48452_1026","PATRIC.71421.8.NC_000907.CDS.1040273.1040854.rev","PATRIC","CDS",1040273,1040854,582,"-","FIG00696212","PLF_724_00001269","PGF_02918324","NP_439146.1",193,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1027","HI0984","VBIHaeInf48452_1027","PATRIC.71421.8.NC_000907.CDS.1040847.1041623.rev","PATRIC","CDS",1040847,1041623,777,"-","FIG00002158","PLF_724_00002944","PGF_00064270","NP_439147.2",258,,"UPF0246 protein YaaA",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1028","HI0985","VBIHaeInf48452_1028","PATRIC.71421.8.NC_000907.CDS.1041677.1042798.rev","PATRIC","CDS",1041677,1042798,1122,"-","FIG00035268","PLF_724_00000768","PGF_09432500","NP_439148.1",373,"dprA","Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1029","HI0986","VBIHaeInf48452_1029","PATRIC.71421.8.NC_000907.CDS.1043355.1044902.fwd","PATRIC","CDS",1043355,1044902,1548,"+","FIG00000157","PLF_724_00000043","PGF_04294677","NP_439149.2",515,"leuA","2-isopropylmalate synthase (EC 2.3.3.13)","GO:0003852|2-isopropylmalate synthase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.100","HI0097","VBIHaeInf48452_0100","PATRIC.71421.8.NC_000907.CDS.104390.105274.fwd","PATRIC","CDS",104390,105274,885,"+","FIG00002011","PLF_724_00000652","PGF_06043321","NP_438271.2",294,"hitA","Ferric iron ABC transporter, iron-binding protein","GO:0005215|transporter activity;GO:0006810|transport"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1030","HI0987","VBIHaeInf48452_1030","PATRIC.71421.8.NC_000907.CDS.1044988.1046064.fwd","PATRIC","CDS",1044988,1046064,1077,"+","FIG00000341","PLF_724_00000073","PGF_07191648","NP_439150.1",358,"leuB","3-isopropylmalate dehydrogenase (EC 1.1.1.85)","GO:0003862|3-isopropylmalate dehydrogenase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1031","HI0988","VBIHaeInf48452_1031","PATRIC.71421.8.NC_000907.CDS.1046240.1047649.fwd","PATRIC","CDS",1046240,1047649,1410,"+","FIG00000280","PLF_724_00000205","PGF_00419420","NP_439151.1",469,"leuC","3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)","GO:0003861|3-isopropylmalate dehydratase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.9","HI0009","VBIHaeInf48452_0009","PATRIC.71421.8.NC_000907.CDS.10467.11375.fwd","PATRIC","CDS",10467,11375,909,"+","FIG00095599","PLF_724_00000696","PGF_05362726","NP_438182.1",302,"fdhE","Formate dehydrogenase formation protein FdhE",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1032","HI0989","VBIHaeInf48452_1032","PATRIC.71421.8.NC_000907.CDS.1047673.1048275.fwd","PATRIC","CDS",1047673,1048275,603,"+","FIG00000282","PLF_724_00000634","PGF_06660812","NP_439152.1",200,"leuD","3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)","GO:0003861|3-isopropylmalate dehydratase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1033","HI0990","VBIHaeInf48452_1033","PATRIC.71421.8.NC_000907.CDS.1048389.1053473.rev","PATRIC","CDS",1048389,1053473,5085,"-","FIG00051456","PLF_724_00000933","PGF_08225224","NP_439153.1",1694,"iga1","hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1034","HI0991","VBIHaeInf48452_1034","PATRIC.71421.8.NC_000907.CDS.1053715.1054794.rev","PATRIC","CDS",1053715,1054794,1080,"-","FIG00000412","PLF_724_00000114","PGF_10387199","NP_439154.1",359,"recF","DNA recombination and repair protein RecF",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.101","HI0098","VBIHaeInf48452_0101","PATRIC.71421.8.NC_000907.CDS.105392.106912.fwd","PATRIC","CDS",105392,106912,1521,"+","FIG00006997","PLF_724_00000594","PGF_00004481","NP_438272.2",506,"hitB","Ferric iron ABC transporter, permease protein","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1035","HI0992","VBIHaeInf48452_1035","PATRIC.71421.8.NC_000907.CDS.1054796.1055896.rev","PATRIC","CDS",1054796,1055896,1101,"-","FIG00066425","PLF_724_00000424","PGF_06473395","NP_439155.1",366,"dnaN","DNA polymerase III beta subunit (EC 2.7.7.7)","GO:0003887|DNA-directed DNA polymerase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1036","HI0993","VBIHaeInf48452_1036","PATRIC.71421.8.NC_000907.CDS.1055909.1057273.rev","PATRIC","CDS",1055909,1057273,1365,"-","FIG00000441","PLF_724_00000790","PGF_00876106","NP_439156.1",454,"dnaA","Chromosomal replication initiator protein DnaA",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1037","HI0994","VBIHaeInf48452_1037","PATRIC.71421.8.NC_000907.CDS.1057465.1060203.rev","PATRIC","CDS",1057465,1060203,2739,"-","FIG01330940","PLF_724_00001417","PGF_00028387","NP_439157.1",912,"tbp1","Outer membrane receptor for lactoferrin or transferrin, TonB-dependent protein A",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1038","HI0995","VBIHaeInf48452_1038","PATRIC.71421.8.NC_000907.CDS.1060231.1062108.rev","PATRIC","CDS",1060231,1062108,1878,"-","FIG01601275","PLF_724_00001418","PGF_00028388","NP_439158.1",625,"tbp2","Outer membrane receptor for lactoferrin or transferrin, lipoprotein B",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1039",,"VBIHaeInf48452_1039","PATRIC.71421.8.NC_000907.CDS.1062206.1062646.fwd","PATRIC","CDS",1062206,1062646,441,"+","FIG00555909","PLF_724_00001368","PGF_03687991",,146,,"FIG140336: TPR domain protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1040",,"VBIHaeInf48452_1040","PATRIC.71421.8.NC_000907.CDS.1062827.1063651.fwd","PATRIC","CDS",1062827,1063651,825,"+","FIG00555909","PLF_724_00001368","PGF_03687991",,274,,"FIG140336: TPR domain protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1041","HI0998","VBIHaeInf48452_1041","PATRIC.71421.8.NC_000907.CDS.1063832.1063966.fwd","PATRIC","CDS",1063832,1063966,135,"+","FIG00000471","PLF_724_00000236","PGF_00016418","NP_439160.1",44,"rpmH","LSU ribosomal protein L34p","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1042","HI0999","VBIHaeInf48452_1042","PATRIC.71421.8.NC_000907.CDS.1064130.1064345.fwd","PATRIC","CDS",1064130,1064345,216,"+","FIG00092649","PLF_724_00001146","PGF_08424570","NP_439161.1",71,"rnpA","Ribonuclease P protein component (EC 3.1.26.5)","GO:0004526|ribonuclease P activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1043","HI1000","VBIHaeInf48452_1043","PATRIC.71421.8.NC_000907.CDS.1064372.1064569.fwd","PATRIC","CDS",1064372,1064569,198,"+","FIG00004843","PLF_724_00001004","PGF_03751658","NP_439162.1",65,,"Membrane protein insertion efficiency factor YidD",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1044","HI1001","VBIHaeInf48452_1044","PATRIC.71421.8.NC_000907.CDS.1064569.1066194.fwd","PATRIC","CDS",1064569,1066194,1626,"+","FIG00002818","PLF_724_00000292","PGF_03751973","NP_439163.1",541,"yidC","Inner membrane protein translocase and chaperone YidC, long form",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1045","HI1002","VBIHaeInf48452_1045","PATRIC.71421.8.NC_000907.CDS.1066352.1067710.fwd","PATRIC","CDS",1066352,1067710,1359,"+","FIG00000279","PLF_724_00000290","PGF_00007057","NP_439164.1",452,"trmE","tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE",
